SD_Sub_System,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,PL_Punch_Category,PL_Punch_Description,PL_No,CompanyName,ResponsibleName
120-07,EL,EBP-MOV-30101,Power Cable B,B,CABLE ARRANGEMENT AND FIXED BY CLAMP SHALL BE DONE.,PL-50939,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MOV-30101,Power Cable B,B,CABLE TAG NO ( S.S ) SHALL BE INSTALL BY S.S TIE.,PL-50931,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-30101,Power Cable B,B,WIRRING ARRANGEMENT AND FIXED SHALL BE DONE.,PL-50963,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MOV-30101,Power Cable B,C,SHIRINK SHALL BE INSTALL.,PL-50971,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-30103,Power Cable B,C,SHIRINK SHALL BE INSTALL.,PL-50974,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-30103,Power Cable B,B,WIRRING ARRANGEMENT AND FIXED SHALL BE DONE.,PL-50966,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MOV-30103,Power Cable B,B,CABLE TAG NO ( S.S ) SHALL BE INSTALL BY S.S TIE.,PL-50932,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-30103,Power Cable B,B,CABLE ARRANGEMENT AND FIXED BY CLAMP SHALL BE DONE.,PL-50940,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MOV-30103,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03310,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-30105,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03325,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-30107,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03330,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-HV1003,Power Cable B,B,S.S tags shall be install.,PL-08222,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MOV-HV2098,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03320,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-3001,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-04331,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-3001,Power Cable B,B,CABLE ARRANGEMENT AND FIXED BY CLAMP SHALL BE DONE.,PL-50942,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MP-3001,Power Cable B,B,CABLE TAG NO ( S.S ) SHALL BE INSTALL BY S.S TIE.,PL-50934,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-3001,Power Cable B,B,WIRRING ARRANGEMENT AND FIXED SHALL BE DONE.,PL-50962,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MP-3001,Power Cable B,C,SHIRINK SHALL BE INSTALL.,PL-50970,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-3012A,Power Cable B,B,TAG NO(S.S) SHALL BE INSTALLED.,PL-26211,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-3012B,Power Cable B,B,TAG NO(S.S) SHALL BE INSTALLED.,PL-26212,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-3013,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03290,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-3015,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03740,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-5012A,Power Cable B,C,SHIRINK SHALL BE INSTALL.,PL-50975,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-5012A,Power Cable B,B,WIRRING ARRANGEMENT AND FIXED SHALL BE DONE.,PL-50967,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MP-5012A,Power Cable B,B,CABLE TAG NO ( S.S ) SHALL BE INSTALL BY S.S TIE.,PL-50936,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-5012A,Power Cable B,B,CABLE ARRANGEMENT AND FIXED BY CLAMP SHALL BE DONE.,PL-50944,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MP-5012B,Power Cable B,B,مرتب سازي کل مسير,PL-04700,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-5070A,Power Cable B,B,S.S tags shall be install.,PL-08035,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-5070B,Power Cable B,B,S.S tags shall be install.,PL-08040,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-7001C-RD,Power Cable B,B,S.S tags shall be install.,PL-05518,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-7060A,Power Cable B,C,ARRANG WIRE IN PANEL SHALL BE DONE.,PL-52125,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7060A,Power Cable B,B,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-55120,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-7060A,Power Cable B,B,CABLE ARRANGEMENT AND FIXED SHALL BE DONE,PL-55111,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7060B,Power Cable B,B,CABLE ARRANGEMENT AND FIXED SHALL BE DONE,PL-55113,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7060B,Power Cable B,B,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-55122,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-7060B,Power Cable B,B,CORENUMBER SHALL BE DONE AND HEATED,PL-55712,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-7070A,Power Cable B,B,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-55123,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MP-7070A,Power Cable B,B,CABLE ARRANGEMENT AND FIXED SHALL BE DONE,PL-55114,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7070A,Power Cable B,C,ARRANG WIRE IN PANEL SHALL BE DONE.,PL-52119,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7070B,Power Cable B,C,ARRANG WIRE IN PANEL SHALL BE DONE.,PL-52122,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7070B,Power Cable B,B,CABLE ARRANGEMENT AND FIXED SHALL BE DONE,PL-55112,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MP-7070B,Power Cable B,B,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-55121,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MP-7101A,Power Cable B,B,مرتب سازي کل مسير,PL-04704,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MP-7101B,Power Cable B,B,مرتب سازي کل مسير,PL-04708,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-MP-7101B,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-04427,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-MP-8401,Power Cable B,B,CABLE TAG NO S.S SHALL BE INSTALLED.,PL-40432,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-MP-8402,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03265,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-MP-8405A,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-04592,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-MP-8405B,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-04600,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-MSR-0001,Power Cable B,B,S.S tags shall be install.,PL-08042,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MX-7050,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-03240,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MX-7060,Power Cable B,B,Tag فلزي کابل ها نصب شود,PL-02788,نیرو آرا اندیش,پانچ|هولد کیسون
120-02,EL,EBP-MX-7060,Power Cable B,C,ARRANG WIRE IN PANEL SHALL BE DONE.,PL-52121,نیرو آرا اندیش,پانچ|هولد مدارک
120-02,EL,EBP-MX-7070,Power Cable B,C,ARRANG WIRE IN PANEL SHALL BE DONE.,PL-52126,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-P7001C-MP-1B,Power Cable B,B,S.S tags shall be install.,PL-05510,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8002-MP-1A,Power Cable B,B,S.S tags shall be install.,PL-04874,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8002-MP-1B,Power Cable B,B,S.S tags shall be install.,PL-04894,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8002-MX-1,Power Cable B,B,S.S tags shall be install.,PL-04876,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8003-MP-1A,Power Cable B,B,S.S tags shall be install.,PL-04878,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8003-MP-1B,Power Cable B,B,S.S tags shall be install.,PL-04896,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8003-MX-1,Power Cable B,B,S.S tags shall be install.,PL-04880,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8004-MP-1A,Power Cable B,B,S.S tags shall be install.,PL-04882,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8004-MP-1B,Power Cable B,B,S.S tags shall be install.,PL-04898,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8004-MX-1,Power Cable B,B,S.S tags shall be install.,PL-04884,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-PK8005-MP-1B,Power Cable B,C,ARRANG WIRE IN PANEL SHALL BE DONE.,PL-52123,نیرو آرا اندیش,پانچ|هولد مدارک
120-03,EL,EBP-PK8401-MP-1A,Power Cable B,B,S.S tags shall be install.,PL-04657,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-CH-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-12017,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-CH-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11714,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-EDP-01,Power Cable B,B,تگ فلزي,PL-52404,نیرو آرا اندیش,پانچ|هولد کیسون
LS-02,EL,EBP-SS-EMLP-01,Power Cable B,B,CABLE ARRANGEMENT AND FIXED SHALL BE DONE,PL-55697,نیرو آرا اندیش,پانچ|هولد مدارک
LS-02,EL,EBP-SS-EMLP-01,Power Cable B,B,CABLE TAG NO (S.S) SHALL BE INSTALL,PL-55688,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-ESWB3A-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11711,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-ESWB3B-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11712,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-FACP-01,Power Cable B,B,Tag No shall be installed.,PL-11716,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-FACP-01,Power Cable B,A,cable shall be fixed by clamp,PL-12019,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-FECP-01,Power Cable B,A,cable shall be fixed by clamp,PL-12020,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-FECP-01,Power Cable B,B,Tag No shall be installed.,PL-11717,نیرو آرا اندیش,پانچ|هولد کیسون
120-03,EL,EBP-SS-HDP-01_1,Power Cable B,B,ALL HVAC CABLES TEST IS NOT DONE(PANEL HVAC SHORTAGE,PL-48967,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-NGR1A-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-12000,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-NGR1A-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11697,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-NGR1B-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11698,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-NGR1B-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-12001,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-PDCS-01_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48410,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-PDCS-01_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48397,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-PDCS-01_AS,Power Cable B,B,CABLE TAG S.S SHALL BE DONE,PL-48383,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-PDCS-01_AS,Power Cable B,B,CABLE ARRANGEMENT SHALL BE DONE.,PL-48384,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-PDCS-01_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59573,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-PDCS-01_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59587,نیرو آرا اندیش,پانچ|هولد کیسون
120-11,EL,EBP-SS-PDCS-01A,Power Cable B,B,CABLE ARRANGEMENT SHALL BE DONE.,PL-25002,نیرو آرا اندیش,پانچ|هولد مدارک
120-11,EL,EBP-SS-PDCS-01A,Power Cable B,B,TAG NO (S.S) SHALL BE INSTALLED.,PL-24994,نیرو آرا اندیش,پانچ|هولد کیسون
120-11,EL,EBP-SS-PDCS-01A,Power Cable B,B,WIRE ARRANGEMENT SHALL BE DONE(JB OR PANEL OR DEVICE),PL-42081,نیرو آرا اندیش,پانچ|هولد مدارک
120-11,EL,EBP-SS-PDCS-01A,Power Cable B,A,CORENUMBER IS NOT HEATED AND FIXED.,PL-42069,نیرو آرا اندیش,پانچ|هولد کیسون
120-11,EL,EBP-SS-PDCS-01B,Power Cable B,A,CORENUMBER IS NOT HEATED AND FIXED.,PL-42070,نیرو آرا اندیش,پانچ|هولد کیسون
120-11,EL,EBP-SS-PDCS-01B,Power Cable B,B,WIRE ARRANGEMENT SHALL BE DONE(JB OR PANEL OR DEVICE),PL-42082,نیرو آرا اندیش,پانچ|هولد مدارک
120-11,EL,EBP-SS-PDCS-01B,Power Cable B,B,TAG NO (S.S) SHALL BE INSTALLED.,PL-24995,نیرو آرا اندیش,پانچ|هولد کیسون
120-11,EL,EBP-SS-PDCS-01B,Power Cable B,B,CABLE ARRANGEMENT SHALL BE DONE.,PL-25003,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-PRB-01,Power Cable B,A,cable shall be fixed by clamp,PL-12018,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-PRB-01,Power Cable B,B,Tag No shall be installed.,PL-11715,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB2A-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11699,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB2B-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11700,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11701,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-02_AS,Power Cable B,B,Tag No shall be installed.,PL-11703,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-03_AS,Power Cable B,B,Tag No shall be installed.,PL-11705,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-03_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48386,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-03_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48399,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3A-03_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59583,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-03_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59569,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3A-04_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59572,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3A-04_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59586,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-04_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48403,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3A-04_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48390,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-04_AS,Power Cable B,B,CABLE TAG S.S SHALL BE DONE,PL-48376,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-05_AS,Power Cable B,B,CABLE TAG S.S SHALL BE DONE,PL-48373,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-05_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48387,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-05_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48400,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3A-05_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59589,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3A-05_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59575,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3B-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11702,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-02_AS,Power Cable B,B,Tag No shall be installed.,PL-11704,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-03_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48396,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-03_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48409,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3B-03_AS,Power Cable B,B,CABLE TAG S.S SHALL BE DONE,PL-48382,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-03_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59571,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3B-03_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59585,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-04_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59588,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-04_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59574,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3B-04_AS,Power Cable B,B,CABLE TAG S.S SHALL BE DONE,PL-48378,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-04_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48392,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-04_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48405,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3B-05_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48401,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-SWB3B-05_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48388,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-05_AS,Power Cable B,B,Tag No shall be installed.,PL-11710,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-05_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59579,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-SWB3B-05_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59565,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR1A-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11683,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR1A-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11986,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR1B-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11987,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR1B-01_AS,Power Cable B,B,Tag No shall be installed.,PL-11684,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11988,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-02_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11990,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-03_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11992,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-03_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48393,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-03_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48406,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2A-03_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59576,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2A-03_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59590,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-04_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59582,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-04_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59568,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2A-04_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48398,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2A-04_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48385,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-04_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11994,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-05_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11996,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-05_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48395,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-05_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48408,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2A-05_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59581,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2A-05_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59567,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2A-06_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11998,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-01_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11989,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-02_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11991,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-03_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11993,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-03_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48404,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2B-03_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48391,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-03_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59577,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2B-03_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59591,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-04_AS,Power Cable B,A,CORE NUMBER SHALL BE INSTALL AND HEATED.,PL-59592,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-04_AS,Power Cable B,C,WIRRING ARRANGEMENT SHALL BE DONE.,PL-59578,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2B-04_AS,Power Cable B,B,CABLE FIX SHALL BE DONE.,PL-48389,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-04_AS,Power Cable B,A,BUS BAR SHALL BE CORRECTLY,PL-48402,نیرو آرا اندیش,پانچ|هولد مدارک
120-07,EL,EBP-SS-TR2B-04_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11995,نیرو آرا اندیش,پانچ|هولد کیسون
120-07,EL,EBP-SS-TR2B-05_AS,Power Cable B,A,cable shall be fixed by clamp,PL-11997,نیرو آرا اندیش,پانچ|هولد کیسون
